"id","firebase_uid","name","email","password","phone","dob","location","address","country","state","city","landmark","pincode","avatar","is_verified","verification_token","password_reset_token","password_reset_expires","preferences","permissions","internal_role","internal_permissions","territory_id","manager_id","commission_rate","is_active","last_login_at","created_at","updated_at","role","staff_role","internalRole","internalPermissions","territoryId","managerId","commissionRate","isActive","lastLoginAt"
"09e0f0c8-e74c-42ba-a53d-6983d4cd8ac8",NULL,"Sunita Reddy","sunita.reddy@example.com","$2a$12$zM8D7LS/zuBEv2PsOtNHvOukguA623kqOpn3zem1M3j9gTwD1GLvK","+919876501237",NULL,NULL,NULL,"India","Telangana","Hyderabad",NULL,NULL,NULL,True,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}",NULL,"{""canManageAgents"": false, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": false, ""canManageTerritories"": false, ""canOnboardProperties"": false, ""canApproveOnboardings"": false, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,NULL,True,NULL,"2025-11-21 19:55:52.734+05:30","2025-11-21 19:55:52.734+05:30","owner",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"28b7f380-366e-4c1b-819e-94b038fdc2b4",NULL,"Sophie Anderson","sophie.anderson@goroomz.com","$2a$12$xAV0eIjQoP22lW.Pd1n5MetitTXRYuhi6W/4zqTG83FkR1/WHGQpm","+919876543220",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}","platform_admin","{""canManageAgents"": true, ""canManageTickets"": true, ""canViewAuditLogs"": true, ""canManageCommissions"": true, ""canManageTerritories"": true, ""canOnboardProperties"": true, ""canApproveOnboardings"": true, ""canAccessAllProperties"": true, ""canManageSystemSettings"": true, ""canBroadcastAnnouncements"": true}",NULL,NULL,NULL,True,"2025-11-21 19:52:31.228+05:30","2025-11-21 19:53:23.378+05:30","2025-11-21 19:53:23.378+05:30","user",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"29517897-bcaf-4083-9ed3-15326427f898",NULL,"sekhar","sekhar.iw@gmail.com","$2a$12$HHnYG6kB1l0QRMSf4VWW8en/EjaQhbNkdkLaWbBaXenB0L2GbkmBq",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": true, ""canCheckOut"": true, ""canManageRooms"": true, ""canManageStaff"": true, ""canViewReports"": true, ""canRecordPayments"": true, ""canUpdateRoomStatus"": true, ""canManageMaintenance"": true}","superuser","{""canManageRoles"": true, ""canManageAPIKeys"": true, ""canManageTickets"": true, ""canViewAnalytics"": true, ""canViewAuditLogs"": true, ""canConfigurePlatform"": true, ""canManageCommissions"": true, ""canManageTerritories"": true, ""canAccessAllProperties"": true, ""canManageInternalUsers"": true, ""canManageSubscriptions"": true, ""canBroadcastAnnouncements"": true}",NULL,NULL,NULL,True,"2025-11-21 19:56:53.781+05:30","2025-11-20 19:34:55.682+05:30","2025-11-21 19:56:53.781+05:30","admin","manager",NULL,NULL,NULL,NULL,NULL,True,NULL
"2c2ff9aa-b3ef-4df7-ba68-514950a72656",NULL,"Rajesh Kumar","rajesh.kumar@goroomz.com","$2a$12$qbuYNWmXDs/j217dR/P.R.ogKBLQA8APexCpd/eP3vJqrtFbLgn96","+919876543217",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}","agent","{""canManageAgents"": false, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": false, ""canManageTerritories"": false, ""canOnboardProperties"": true, ""canApproveOnboardings"": false, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,"6.00",True,"2025-11-16 19:53:16.228+05:30","2025-11-21 19:53:21.575+05:30","2025-11-21 19:53:21.575+05:30","user",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"30ea3f8f-e11f-4641-aa5e-587d8091bae2",NULL,"David Martinez","david.martinez@goroomz.com","$2a$12$HedpprnjwmSzIkqVoXW3RuKkWqCN8BjXPFyYyknd4eTTrNbE6Cm/6","+919876543213",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}","operations_manager","{""canManageAgents"": false, ""canManageTickets"": true, ""canViewAuditLogs"": false, ""canManageCommissions"": false, ""canManageTerritories"": false, ""canOnboardProperties"": false, ""canApproveOnboardings"": false, ""canAccessAllProperties"": true, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": true}",NULL,NULL,NULL,True,"2025-11-21 19:52:16.228+05:30","2025-11-21 19:53:19.162+05:30","2025-11-21 19:53:19.162+05:30","user",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"4626af8a-52bf-460f-b9e6-32f4a4a179d3",NULL,"Amit Patel","amit.patel@example.com","$2a$12$gu3l2Ci2OynlhqrfU25GeO9K2eFo17a8Q7F4NrIjR5P6f2Ij96TAG","+919876501236",NULL,NULL,NULL,"India","Maharashtra","Pune",NULL,NULL,NULL,True,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}",NULL,"{""canManageAgents"": false, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": false, ""canManageTerritories"": false, ""canOnboardProperties"": false, ""canApproveOnboardings"": false, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,NULL,True,NULL,"2025-11-21 19:55:52.395+05:30","2025-11-21 19:55:52.395+05:30","owner",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"5f23b1c7-5a7e-4a33-809c-1196b7da4a20",NULL,"Priya Sharma","priya.sharma@goroomz.com","$2a$12$CcXKQxef8LDSbibN3q9EDu0ifYqZwi.KBu9aQuwxR54U0YheThkue","+919876543212",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}","regional_manager","{""canManageAgents"": true, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": true, ""canManageTerritories"": true, ""canOnboardProperties"": false, ""canApproveOnboardings"": true, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,NULL,True,"2025-11-21 19:38:16.228+05:30","2025-11-21 19:53:18.188+05:30","2025-11-21 19:53:18.188+05:30","user",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"6a9de756-108e-4729-8a88-5dd884f3a134",NULL,"Priya Sharma","priya.sharma.owner@example.com","$2a$12$REhZz4mbQIV7PKhvjQB1COpWba2IaXHwdCu/wyCDohn5VKAkU/1dK","+919876501235",NULL,NULL,NULL,"India","Karnataka","Bangalore",NULL,NULL,NULL,True,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}",NULL,"{""canManageAgents"": false, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": false, ""canManageTerritories"": false, ""canOnboardProperties"": false, ""canApproveOnboardings"": false, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,NULL,True,NULL,"2025-11-21 19:55:52.07+05:30","2025-11-21 19:55:52.07+05:30","owner",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"6db1b4e7-d70f-4bc3-899d-ca7f8992ef49",NULL,"Ramesh Gupta","ramesh.gupta@example.com","$2a$12$B6g0afCT9vLLi.4yelhww.o/SdrVRcAUAYw4lNyy8kbqWZWzhCUZm","+919876501234",NULL,NULL,NULL,"India","Maharashtra","Mumbai",NULL,NULL,NULL,True,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}",NULL,"{""canManageAgents"": false, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": false, ""canManageTerritories"": false, ""canOnboardProperties"": false, ""canApproveOnboardings"": false, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,NULL,True,NULL,"2025-11-21 19:55:51.186+05:30","2025-11-21 19:55:51.186+05:30","owner",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
"77d6a0ec-7a26-4f6a-861e-7033636012ff",NULL,"Emily Rodriguez","emily.rodriguez@goroomz.com","$2a$12$rMrrdj6o5gKZb4Lr6./OYeqjUB74NgJNLUfV143ZOz8dzagEF9cfC","+919876543216",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,"{""language"": ""en"", ""notifications"": {""sms"": false, ""email"": true}}","{""canCheckIn"": false, ""canCheckOut"": false, ""canManageRooms"": false, ""canManageStaff"": false, ""canViewReports"": false, ""canRecordPayments"": false, ""canUpdateRoomStatus"": false, ""canManageMaintenance"": false}","regional_manager","{""canManageAgents"": true, ""canManageTickets"": false, ""canViewAuditLogs"": false, ""canManageCommissions"": true, ""canManageTerritories"": true, ""canOnboardProperties"": false, ""canApproveOnboardings"": true, ""canAccessAllProperties"": false, ""canManageSystemSettings"": false, ""canBroadcastAnnouncements"": false}",NULL,NULL,NULL,True,"2025-11-21 19:23:16.228+05:30","2025-11-21 19:53:20.918+05:30","2025-11-21 19:53:20.918+05:30","user",NULL,NULL,NULL,NULL,NULL,NULL,True,NULL
